Q_LEARN,Q_EVICT,Q_FLOOD,Q_BLOCK,Q_UNBLOCK,Q_INC_AGE,Q_DEC_AGE
-0.0711,0.0,0.0,0.0,0.0,0.0,0.0
-0.135,0.0,0.0,0.0,0.0,0.0,0.0
-0.135,0.0,0.0,0.0,0.0,0.0,0.0216
0.0,0.0,0.0,0.0,0.0,-0.0059,0.0
0.0,0.0,0.0,0.0,0.0,-0.0059,-0.0059
0.0,-0.1,0.0,0.0,0.0,-0.0059,-0.0059
0.0,-0.1,0.0,0.0,0.0,-0.0108,-0.0059
-0.001,-0.1,0.0,0.0,0.0,-0.0108,-0.0059
-0.001,-0.19,0.0,0.0,0.0,-0.0108,-0.0059
-0.001,-0.19,-0.0172,0.0,0.0,-0.0108,-0.0059
-0.001,-0.19,-0.0172,0.0,0.0,-0.0108,-0.011
-0.001,-0.271,-0.0172,0.0,0.0,-0.0108,-0.011
-0.0017,-0.271,-0.0172,0.0,0.0,-0.0108,-0.011
-0.0032,-0.271,-0.0172,0.0,0.0,-0.0108,-0.011
-0.0046,-0.271,-0.0172,0.0,0.0,-0.0108,-0.011
-0.0052,-0.271,-0.0172,0.0,0.0,-0.0108,-0.011
-0.0052,-0.271,-0.0172,0.0,0.0,-0.0143,-0.011
-0.0052,-0.271,-0.0172,0.0,0.0,-0.0143,-0.0159
-0.0052,-0.271,-0.0327,0.0,0.0,-0.0143,-0.0159
-0.0052,-0.271,-0.0327,0.0,0.0,-0.0188,-0.0159
-0.0052,-0.271,-0.0327,0.0,0.0,-0.0188,-0.0202
-0.0052,-0.271,-0.0327,0.0,0.0,-0.0188,-0.0233
